company_name,request_url,request_company_url,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
Switcheo Network,https://e27.co/startup/switcheo-network,http://switcheo.network,Singapore,,,,,"http://www.twitter.com/SwitcheoNetwork,https://www.linkedin.com/company/switcheonetwork/",,,Switcheo is a decentralised cryptocurrency exchange currently built on the NEO blockchain with plans to move onto QTUM and Ethereum.,"Switcheo is a decentralised exchange built on the NEO blockchain. It supports trading of NEP-5 tokens and NEO system assets like GAS & NEO. It aims to be a truly decentralised exchange while still providing for a superb user experience. Currently on the NEO blockchain, Switcheo has already started work on QTUM and Ethereum, and aims to be the first multi-chain DEX."
My Tour Advisor -same day agra tours,https://e27.co/startup/my-tour-advisor-same-day-agra-tours,https://www.mytouradvisor.com/product-category/india-by-my-tour-advisor/south-india-kerala/,India,Travel,,,,"https://www.facebook.com/mytouradvisor/,https://twitter.com/MyTourAdviser",,,"we provide Same Day Agra Tours, a full-service tour operator specializing in same day and multi-day tours, custom made holidays and tour packages to a variety of sightseeing locations.",My Tour Adviser is an India based Tour Operator Founded in 2013.
Infovium web scraping services,https://e27.co/startup/infovium-web-scraping-services,http://infoviumwebscraping.com/,United Kingdom,,June 2014,,,,,,"Infovium web scraping services is best data provider in UK, Canada, USA, India and more countries","Infovium web scraping services is well known data scraping and web data extraction services provider company in various countries.We assure for offering accurate and quality data as per clients requirement. We have handled lots of projects in field of facebook data scraping, Twitter data scraping, yelp data scraping, yellow pages data scraping, Linkdin data scraping, amazon data scraping, ebay data scraping, walmart data scraping, real estate data scraping, Hotel and restaurant data scraping and more."
e-Definers Technology,https://e27.co/startup/e-definers-technology,https://www.edtech.in/,India,Advertising,June 2006,,,"http://www.twitter.com/edefiner,https://www.facebook.com/edefiners/,https://www.linkedin.com/company/13264639/",,,"E-Definers Technology (EDTECH) is a leading web design and Digital Marketing company in Delhi. Our work speaks for our quality. Edtech team, we are experts in SEO, SMO, SMM &  Paid Advertisement.","e-Definers Technology is an IT Company based in Delhi with a core focus on providing result-oriented Web Designing and Digital Marketing Services. We help brands create amazing sites and provide them a platform to showcase their products and engage with their customers. We offer integrated Digital Marketing services ranging from Search Engine Optimization Services  to ORM Services to creating highly successful Adwords campaign for their brand. Some of our core services include: website development, web design, digital marketing & SEO, content creation, and branding."
Deepija Telecom Pvt Ltd,https://e27.co/startup/deepija-telecom-pvt-ltd,http://www.deepijatel.com/,India,,,,,"http://www.twitter.com/deepijatel,https://www.facebook.com/DeepijaTel,https://www.linkedin.com/company/deepija-telecom-pvt-ltd",,,Deepija Telecom is a designer and developer of high quality telecom software solutions. It provides affordable solutions with the use of cutting-edge technology and a strong R&D base.,"“Deepija Telecom (P) Ltd.” was founded in the year 2003 with an aim to provide High-Quality Telecom Application solutions to enterprises. We are operating our all business activities with our prime offices located at Hyderabad, Telangana (India). We are engaged in manufacturing, supplying, exporting, importing, wholesaling and trading. We are a trader of the brand like convox. We have VoIP Gateway, 4 port PRI Card, Network Servers, IP Phones, and Wired Headset, Telephony Card, Wifi Router and many more in our product segment. We also provide Telecom Software Development Service to our customers at market leading prices."
Shop Nhat Chaly,https://e27.co/startup/shop-nhat-chaly,http://www.shopnhatchaly.com/,Vietnam,,,,,,,,Tư vấn xách tay hàng Nhât,
Winimy AI,https://e27.co/startup/winimy-ai-1,https://www.winimy.ai/,Singapore,,May 2016,,,https://www.linkedin.com/company/winimy-ai,,,Winimy builds and orchestrates AI-engineered bespoke customer engagement technologies.We have a bold mission to use voice based AI to transform business-customer interactions.,Winimy has been recognized as one of 7 most innovative Global Technology ventures at Innovfest
Observe.AI,https://e27.co/startup/observe-ai,https://observe.ai/,India,Telecommunications,,,,,,,We are a Voice AI platform for call centers. We are 'Agent First' in our DNA.,We are a Voice AI platform for call centers. We are 'Agent First' in our DNA.
"Fortunesoft IT Innovations, Inc.",https://e27.co/startup/fortunesoft-it-innovations-inc,https://www.fortunesoftit.com/,United States of America,,January 2009,,,"http://www.twitter.com/fortunesoft,https://www.facebook.com/Fortunesoft-111958442224473/,https://www.linkedin.com/company/fortunesoft-it-innovations/",,,"Fortunesoft is a global IT solutions company providing full-cycle services in the areas of software development, web-based and mobile application solutions.","Fortunesoft is a software product engineering and consulting company providing full ‐ cycle development services for enterprises and startups. We build, improve and scale software products across platforms leveraging disruptive technologies in mobile, web, cloud, analytics, and blockchain."
Qutoutiao ,https://e27.co/startup/qutoutiao,http://www.qutoutiao.net/,China,,,,,https://www.linkedin.com/company/qutoutiao-%E8%B6%A3%E5%A4%B4%E6%9D%A1/,,,Qutoutiao is a news recommendation app with a focus on light reading with entertainment as its main content,Qutoutiao is a news recommendation app with a focus on light reading with entertainment as its main content.
Prolitus Technologies ,https://e27.co/startup/prolitustechnologies,https://www.prolitus.com/,India,,,,,"http://www.twitter.com/ProlitusTech,https://www.facebook.com/ProlitusTechnologies,https://www.linkedin.com/company/prolitus-technologies/",,,"We are a ten-year strong company, serving varied industries, including Healthcare, Manufacturing, Retail, Fintech, with cutting edge and easy to use solutions, addressing different challenges.","Prolitus is a leading and one of the best Blockchain Development Company based out in USA and India. We at Prolitus provide all Blockchain related services ranging from Blockchain Development, Cryptocurrency Development, Wallet Development, Ethereum Smart Contracts and Hyperledger Smart Contracts. If you want to create your own Cryptocurrency, contact Prolitus Now."
Bosco,https://e27.co/startup/bosco,https://www.boscoapp.com/,Israel,,,,,"http://www.twitter.com/boscoapp,https://www.facebook.com/BoscoApp",,,"Bosco detects unusual events or threats, and notifies parents when their children might need protection. It’s a solution that eliminates distractions and lets parents focus on what really matters.",Bosco is an AI-powered parenting app that predicts and prevents threats to children.
Yo!Fit,https://e27.co/startup/yo-fit,https://www.fatbit.com/fitness-trainer-search-portal-development.html,India,,,,,"http://www.twitter.com/getyofit,https://www.facebook.com/GetYoFit",,,,
AdStrux,https://e27.co/startup/adstrux,http://www.adstrux.com,Malaysia,,March 2018,,,,,,AdStrux connects advertisers to real time outdoor media advertising inventories availability information to easily plan and book for their campaigns and manage these campaigns with performance data.,
All Education Result ,https://e27.co/startup/all-education-result,https://alleducationresult.com/,Bangladesh,Education,,,,http://www.twitter.com/AllEducationRe1,,,"There are many websites for providing exam routine. Some of them are very helpful. Today, I’m here to introduce a new website. The name of the website is","There are many websites for providing exam routine. Some of them are very helpful. Today, I’m here to introduce a new website. The name of the website is <a href=""https://alleducationresult.com/psc-routine/"">PSC Routine 2018</a>. Recently it has published two exam routines. They are <a href=""https://alleducationresult.com/jsc-exam-routine/"">JSC Routine 2018</a> and <a href=""https://alleducationresult.com/ssc-routine/"">SSC Routine 2019</a>. This website is very popular with the students because it provides all educational information. This site is working well. I suggest you visit that site."
Voonote,https://e27.co/startup/voonote,https://www.voonote.com,India,,,,,"http://www.twitter.com/voonot,https://www.facebook.com/voonote,https://www.linkedin.com/company/voonote/",,,"Visitor Registration, Management & Feedback System",Make your reception desk more efficient and welcome your visitors/clients the smart way with Voonote.
BritHome.com,https://e27.co/startup/brithome-com,https://www.brithome.com/,United Kingdom,,,,,,,,"UK Property Search, Houses, Flats & Apartment for Sale/to Rent | BritHome.com",
PJPR Consulting,https://e27.co/startup/pjpr-consulting,http://www.pjprconsulting.com,Indonesia,B2B/Enterprise,January 2016,,,https://www.linkedin.com/company/pjpr-consulting/,,,"We are a global management consulting firm that serves a broad mix of private, public and social sector institutions. We help our clients make significant and lasting improvements to their performance",
flyerjobs,https://e27.co/startup/flyerjobs,https://flyerjobs.in/,India,,,,,,,,,
Design Form,https://e27.co/startup/design-form,https://www.designform.com.au/,Australia,,,,,http://www.twitter.com/DesignForm1,,,"We're one of the top Melbourne based custom design companies, offering custom built wardrobes, entertainment units, home office furniture and cabinets. Call us!","Established in 1995, Design Form is the French organisation of craftsmen and artisan dating from middle ages. We specialise in entertainment units, storage and shelving, office spaces, home office furniture, personal libraries and much more."
Ezimar Platform,https://e27.co/startup/ezimar,http://ezimar.com/,Vietnam,,,,,https://www.facebook.com/ezimarcom/,,,Ezimar Platform focuses on performance - based marketing which affects significantly sales revenue in businesses by providing simple marketing tools.,"At present, Ezimar (Easy Marketing) focuses on performance - based marketing which affects significantly sales revenue in businesses by providing simple marketing tools. Pioneering feature of our product is a landing page builder that helps users build a landing page in just 3 minutes without coding or designing skills required. Besides, by integrating directly conversion rate analysis, campaigns, channels and advertisements management on the system, Ezimar plays a direct role in supporting marketers and businesses to make strategic marketing decisions. About our technological base, we optimize cloud servers to benefit from the economies of scale of sharing hardware and scale up automatically. On the clear product roadmap, we put pressure on innovative application of Big Data in recommendation model with expectation to transform sales & marketing performance in internet marketing era."
Offers Contest,https://e27.co/startup/offers-contest,https://www.offerscontest.com/,United States of America,,,,,,,,"Offers Contest is a blog which provides Latest Sweepstakes, Contests, Giveaways, Instant Win Game, Survey.",
haligroup,https://e27.co/startup/haligroup,https://haligroup.vn/my-pham-skinaz,Vietnam,,,,,,,,,
Bitcoin OTC Base,https://e27.co/startup/bitcoin-otc-base,https://bitcoinotcbase.com/bitcoin-otc-trading,United States of America,Bitcoin,April 2018,,,"http://www.twitter.com/bitcoinotcbase,https://www.facebook.com/Bitcoin-OTC-Base-122579851951885/,https://www.linkedin.com/company/bitcoin-otc-base/",,,Bitcoin OTC Base is a Cryptocurrency & Bitcoin OTC (Over-the-counter) trading desk and brokerage service in Singapore that provides deep liquidity to institutional and individual investors.,Bitcoin OTC Base is a Cryptocurrency & Bitcoin OTC (Over-the-counter) trading desk and brokerage service in Singapore that provides deep liquidity to institutional and individual investors.
Capable Group,https://e27.co/startup/capable-group,https://www.capable.loans/sme-business-loans,Singapore,Banking & Accounting,August 2016,,,"http://www.twitter.com/capableloans,https://www.facebook.com/capableloans/,https://www.linkedin.com/company/capable-loans/",,,Capable Loans (by Capable Group) is a Corporate Financing consultancy with a specialized expertise in the syndication and structuring of debt financing.,Capable Loans (by Capable Group) is a Corporate Financing consultancy with a specialized expertise in the syndication and structuring of debt financing.
Cybersite ,https://e27.co/startup/cybersite,http://www.cybersite.com.sg/,Singapore,,,,,http://www.facebook.com/cybersitesg,,,"Cybersite have managed to build a strong foothold in the Cloud services arena within Singapore, with customers in Asia and all around the world.",We pride ourselves as a one-stop service provider that gives you the most comprehensive Cloud hosting and communications service that is second to none.
WebHostingSG,https://e27.co/startup/webhostingsg,https://www.webhosting.sg/,Singapore,,,,,,,,"We are an experienced web hosting/ cloud hosting provider based in Asia, with a strong focus on Asian market. ",
Runs.com,https://e27.co/startup/runs-com,https://runs.com/,Singapore,,,,,"http://www.twitter.com/RunsDotCom,https://web.facebook.com/RunsdotCom/?_rdc=1&_rdr",,,"Runs.com is a decentralized, Blockchain-based and XKU driven Ecommerce platform.","Runs.com is a decentralized, Blockchain-based and XKU driven Ecommerce platform. We are building a truly democratic platform that allows members to decide, create, buy and sell experiences amongst themselves with the platform acting as a facilitator. Blockchain also helps build digital trust amongst members for transactions."
Loom Solar,https://e27.co/startup/loom-solar,https://www.loomsolar.com/collections/solar-inverters,India,,February 2018,,,"http://www.twitter.com/loomsolar,https://www.facebook.com/loomsolar",,,"It is India's premium Solar Brand Store that sells solar systems, solar panels, solar inverters and solar chargers online for top solar brands in India. It is started by ex-Luminous executive. It is a",Loom solar in brief
FerraMatrix,https://e27.co/startup/ferramatrix,http://www.ferramatrix.com,India,,,,,"http://www.twitter.com/ferramatrix,https://www.facebook.com/ferramatrix/,https://www.linkedin.com/company/ferramatrix/",,,Ferramatrix is a comprehensive Structural Steel Detailing Service Company leveraging the latest 3D softwares to provide efficient structural designs of steel components for diverse structures.,Our offerings adhere to proven standards and operating procedures especially in use of AutoCAD and Tekla Structures for creating 2D and 3D structural drawings and models.
whizNext Technologies,https://e27.co/startup/whiznext-technologies,http://www.whiznext.com/digital-marketing-services/,India,,,,,,,,,
ezellohub,https://e27.co/startup/ezellohub,http://www.ezellohub.com,India,,,,,,,,,
Vertizcorp ,https://e27.co/startup/vertizcorp,http://Www.vertizcorp.com,India,Consumer,February 2017,,,"http://Www.facebook.com/koushik Sekhar,http://Www.linkedin.com/Koushik Sekhar",,,Vertizcorp was  Founded in February 2017 by a group of industry enthusiast. Vertiz has been into ITeS and bpo. Having clients across the Vertiz looking to raise funds for it expansion,A seed round of $2million for our food tech platform. The product is based on community zapping and customized fooding. We as a product company provide a platform based on Artificial intelligence (AI)  for restaurants and food chains.
Patohealth,https://e27.co/startup/patohealth,https://www.patohealth.com/,India,,,,,,,,We provide world-class chronic care at the comfort of your home. Our team of healthcare professionals act more like a family doctor who can take care of your health.,
CAknowledge,https://e27.co/startup/caknowledge,https://caknowledge.com/,India,,July 2014,Raju choudhary,,"http://www.twitter.com/caknowledgepage,https://www.facebook.com/caknowledgepage/,https://www.linkedin.com/in/rajuchoudhary/",,,"Caknowledge.com is an interactive platform for educating students, professionals, and interested candidates about GST, Income Tax, Banking, Finance, Tally, CA, CS, CMA.","Caknowledge.com is an interactive platform for educating students, professionals, and interested candidates about CA, CS, CMA. Here you can enhance your knowledge on various topics related to finance & accountancy related topics like taxation, management, accounting, business law, corporate law  banking, stock market, investment and many more"
Alias Insurance,https://e27.co/startup/alias-insurance,https://www.aliasinsurance.com,United States of America,,,,,,,,,
Trishana Technologies,https://e27.co/startup/trishana-technologies,http://www.ieltstraininginbangalore.in/,India,,October 2017,,,"http://www.twitter.com/TrishanaTechno1,https://www.facebook.com/Trishanatechnologies/,https://www.linkedin.com/in/trishana-technologies-26a8b8158/",,,Score high marks in IELTS by taking IELTS Coaching in Bangalore in a reputed IELTS Training in Bangalore for more course details call @9513015050,Score high marks in IELTS by taking IELTS Coaching in Bangalore in a reputed IELTS Training in Bangalore for more course details call @9513015050
 Syontic Software and Consultancy Services Pvt. Ltd. ,https://e27.co/startup/syontic-software-and-consultancy-services-pvt-ltd,http://www.syontic.com,India,,March 2018,,,"http://www.twitter.com/syontic,https://www.facebook.com/syontic,https://www.linkedin.com/company/syontic",,,"Syontic software & consultancy services Pvt.Ltd. is based in New Delhi, India and our team is dedicated towards providing you with the best results by combining business intelligence and technical cap",
Sarkari Naukri Guru,https://e27.co/startup/sarkarinaukriguru,http://www.sarkarinaukriguru.com,India,,July 2018,,,"http://www.twitter.com/GuruNaukri,https://www.facebook.com/291029244346305/,https://www.linkedin.com/company/sarkarinaukriguru/",,,Sarkari Naukri Guru helps aspirants to find latest Government jobs including competitive examination & Admit card of various Exam.,Sarkari Naukri Guru is a leading online job search platform which gives the information about all Sarkari Naukri in India. Unemployed youth who are searching for government jobs can find here all type of jobs as per their qualification. We also provide the syllabus for various Govt job exam.
Qualitician,https://e27.co/startup/qualitician,https://www.qualitician.com/,India,,,,,"http://www.twitter.com/Qualiticians,https://facebook.com/Qualitician,https://www.linkedin.com/company/qualitician",,,Career portal for Software Quality Control (Software Testing) and Software Quality Assurance Professionals.,
Design Cafe,https://e27.co/startup/design-cafe,https://www.designcafe.com,India,,,,,,,,country.,
EXOCHAIN,https://e27.co/startup/exochain,https://www.exochain.com/,Singapore,Computer Security,,,,"http://www.twitter.com/exochainlynk,https://www.facebook.com/EXOCHAIN/,https://www.linkedin.com/company/exochain/",,,"When secure handling of identifying data is mission critical, turn to EXOCHAIN. Our patent-pending technology delivers the highest standard for secure custody and care of critical data.","When secure handling of identifying data is mission critical, turn to EXOCHAIN. Our patent-pending technology delivers the highest standard for secure custody and care of critical data, for the world’s toughest use cases."
NEXT Marketing Myanmar ,https://e27.co/startup/next-marketing-myanmar,https://e27.co/startups?loc[]=Burma,,Advertising,,Aung Khant Kyaw,,"https://www.facebook.com/NEXTMarketingSolutionsMyanmar,https://www.linkedin.com/company/next-marketing-myanmar",,,"We are result oriented and data driven marketing firm in Yangon, Myanmar.",Who we are
Shahab-FK Enterprises,https://e27.co/startup/shahab-fk-enterprises,https://hrms-systems.com/presta-store/en/,India,Consulting,December 2008,,,"http://www.twitter.com/Shahab_hrms,https://www.facebook.com/shahabhrms/,https://www.linkedin.com/in/shahab-khan-3359a575/",,,We have addons in various categories to provide extra features in reasonable price and best quality.,"We help clients in achieving their targets by successfully mapping and effectively implementing addons on all their stores,business processes and operations."
NRG Efficient Homes,https://e27.co/startup/nrg-efficient-homes,https://www.nrgefficienthomes.com.au,Australia,,,,,http://www.twitter.com/nrgefficienthomesau,,,"NRG Efficient Homes, a nationally accredited company under the ABSA & BDAV body is a team of energy rating consultants committed to providing the cost-effective solutions in sustainable in Melbourne.","NRG Efficient Homes, a nationally accredited company under the ABSA & BDAV body is a team of Energy Rating Consultants committed to providing the cost-effective solutions in sustainable buildings of Melbourne."
OIG International Pte Ltd,https://e27.co/startup/oig-international-pte-ltd,http://www.oiginternational.com,Singapore,,,,,,,,"Founded in 1995, a Biz Incubator & Enterprise consulting firm with a vast portfolios across various industries, have assisted MNCs with their Asia localization; and SMEs for their overseas ventures.","Since 2009, we have evolved into being a business incubator, where we built diversified enterprises with time-tested strategies, relevant resources and strong brand capability to achieve sustainable growth ."
iMUONS Web Solutions Pvt. Ltd,https://e27.co/startup/imuons-web-solutions-pvt-ltd,https://www.imuons.com/,India,,January 2010,,,"http://www.twitter.com/imuons,https://www.facebook.com/Imuons/,https://www.linkedin.com/company/imuons-web-solutions-pvt-ltd/",,,iMUONS is a company with a versatile service portfolio and diversified experience. Our truewealth lies in our years and years of experience collected by working dedicatedly in the industry.,"iMUONS is a company with a versatile service portfolio and diversified experience. Our truewealth lies in our years and years of experience collected by working dedicatedly in the industry.Our focus has always been on delivering solutions that simplify functionalities and enhances user experience.Established with the quest of doing quality work with true sincerity, iMUONS has been growing leaps and bounds."
Buttercup Advertising Studio - Graphic Designing Company.,https://e27.co/startup/buttercup-advertising-studio-graphic-designing-company,https://www.buttercup.in/,India,Advertising,September 2015,,,"http://www.twitter.com/ButtercupADVT,https://www.facebook.com/buttercupadvertisingstudio/,https://www.linkedin.com/company/buttercup-advertising-studio",,,We are a branding & Advertising Agency. We believe in understanding your brand stands for through Media & Marketing Solutions.,"A creative team of unique minds, that invents new ideas for your brand business..."
PrintDesi,https://e27.co/startup/printdesi,https://www.printdesi.in/,India,,,,,https://www.facebook.com/printdesi/?ref=br_rs,,,Most people want their phones to look elegant & classy and love it when people compliment about their phone’s appealing ,Most people want their phones to look elegant & classy and love it when people compliment about their phone’s appealing
PCD Pharma Franchise,https://e27.co/startup/pcd-pharma-franchise,http://pcd-pharmafranchise.co.in/,India,Health/Medical,January 2017,,,"http://www.twitter.com/PCDPharmaInd,https://www.linkedin.com/in/sandhya-shah-9a2936166/",,,PCD Pharma Franchise has established in the year 2017. The company focuses strongly on the high-quality standards of manufacturing and to provide successful Pharma PCD business opportunity.,"PCD Pharma Franchise has established in the year 2017. The company focuses strongly on the high-quality standards of manufacturing and to provide successful Pharma PCD business opportunity. PCD Pharma Franchise has certified and leading name in the pharmaceutical sector, development and marketing of diverse and authorized product range is at the core of our all initiatives."
Bike Loan LenDenClub,https://e27.co/startup/bike-loan-lendenclub,https://www.lendenclub.com/loan/bike-loan,India,Finance,March 2015,,,,,,LenDenClub is offering best bike loans online in India.,LenDenClub is one of the top bike loan providers in India. We are offering easy two wheeler loans online in India at best interest rates. We provide bike loans within 4 to 5 working days after registering with us. For more info visit our website: https://www.lendenclub.com/loan/bike-loan
Social Credit Union,https://e27.co/startup/social-credit-union,https://socu.io,South Korea,Banking & Accounting,,,,,,,SOCU is a blockchain-based credit union building platform aimed at the democratization of banking and credit rating system.,"SOCU is a blockchain-based credit union building platform aimed at the democratization of banking and credit rating system. The credit card transaction fee revenue accounts over USD 14 billion in Korea and over USD 200 billion in the world each year. On every existing P2P lending platform the borrowers must await their application to be processed until the investors make up their mind. On SOCU, the investors prepare money beforehand and make transactions on borrowers’ demands. This unorthodox approach allows us to build an on-demand sharing economy in the credit card market."
